Season,Tm,Champion,Finals,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,STLperG,BLKperG,PTSperG
2017-18,CHI,0,0,NBA,82,27,55,0.329,19855,3170,7285,2264,4736,906,2549,1194,1574,790,2873,3663,1923,626,289,1147,1571,8440,0.4351407,0.355433503,0.758576874,7.634146341,3.524390244,102.9268293
2018-19,CHI,0,0,NBA,82,22,60,0.268,19905,3266,7205,2521,5082,745,2123,1328,1695,718,2799,3517,1796,603,351,1159,1663,8605,0.453296322,0.350918512,0.783480826,7.353658537,4.280487805,104.9390244
1979-80,CLE,0,0,NBA,82,37,45,0.451,19930,3811,8041,3775,7854,36,187,1702,2205,1307,2381,3688,2108,764,342,1370,1934,9360,0.473946027,0.192513369,0.771882086,9.317073171,4.170731707,114.1463415
1980-81,CLE,0,0,NBA,82,28,54,0.341,19780,3556,7609,3484,7360,72,249,1486,1909,1258,2243,3501,2007,632,322,1396,1995,8670,0.467341306,0.289156627,0.77841802,7.707317073,3.926829268,105.7317073
1981-82,CLE,0,0,NBA,82,15,67,0.183,19805,3405,7334,3380,7197,25,137,1628,2179,1190,2170,3360,1871,634,357,1319,2193,8463,0.464275975,0.182481752,0.747131712,7.731707317,4.353658537,103.2073171
1982-83,CLE,0,0,NBA,82,23,59,0.28,19755,3252,6995,3222,6875,30,120,1430,1983,1173,2414,3587,1738,617,290,1538,2236,7964,0.464903503,0.25,0.721129602,7.524390244,3.536585366,97.12195122
1983-84,CLE,0,0,NBA,82,28,54,0.341,19855,3362,7232,3319,7068,43,164,1619,2178,1213,2388,3601,1930,630,375,1332,2206,8386,0.464878319,0.262195122,0.743342516,7.682926829,4.573170732,102.2682927
1984-85,CLE,0,0,NBA,82,36,46,0.439,19780,3470,7364,3374,7029,96,335,1867,2491,1203,2445,3648,2096,622,472,1387,2173,8903,0.471211298,0.286567164,0.749498193,7.585365854,5.756097561,108.5731707
1985-86,CLE,0,0,NBA,82,29,53,0.354,19780,3478,7239,3346,6848,132,391,1748,2325,1086,2455,3541,2064,627,436,1411,2267,8836,0.480453101,0.337595908,0.751827957,7.646341463,5.317073171,107.7560976
1986-87,CLE,0,0,NBA,82,31,51,0.378,19755,3349,7122,3268,6784,81,338,1779,2554,1257,2420,3677,1912,672,559,1619,1853,8558,0.470233081,0.23964497,0.696554424,8.195121951,6.817073171,104.3658537
1987-88,CLE,0,0,NBA,82,42,40,0.512,19780,3313,6755,3186,6419,127,336,1813,2438,1015,2289,3304,2070,733,526,1439,1836,8566,0.490451517,0.37797619,0.74364233,8.93902439,6.414634146,104.4634146
1988-89,CLE,0,0,NBA,82,57,25,0.695,19755,3466,6904,3296,6430,170,474,1821,2438,1033,2475,3508,2260,791,586,1323,1592,8923,0.50202781,0.358649789,0.746923708,9.646341463,7.146341463,108.8170732
1989-90,CLE,0,0,NBA,82,42,40,0.512,19880,3214,6977,2868,6126,346,851,1637,2201,1128,2380,3508,2106,645,512,1243,1666,8411,0.460656443,0.406580494,0.74375284,7.865853659,6.243902439,102.5731707
1990-91,CLE,0,0,NBA,82,33,49,0.402,19830,3259,6857,3099,6378,160,479,1665,2176,1011,2329,3340,2240,643,450,1281,1672,8343,0.475280735,0.334029228,0.765165441,7.841463415,5.487804878,101.7439024
1991-92,CLE,0,0,NBA,82,57,25,0.695,19805,3427,7025,3174,6317,253,708,1819,2259,1041,2450,3491,2260,616,621,1073,1556,8926,0.487829181,0.357344633,0.80522355,7.512195122,7.573170732,108.8536585
1992-93,CLE,0,0,NBA,82,54,28,0.659,19830,3425,6887,3142,6145,283,742,1699,2119,929,2496,3425,2349,615,536,1120,1580,8832,0.49731378,0.381401617,0.801793299,7.5,6.536585366,107.7073171
1993-94,CLE,0,0,NBA,82,47,35,0.573,19855,3133,6731,2839,5918,294,813,1736,2254,1090,2353,3443,2049,705,426,1136,1701,8296,0.465458327,0.361623616,0.770186335,8.597560976,5.195121951,101.1707317
1994-95,CLE,0,0,NBA,82,43,39,0.524,19930,2756,6255,2358,5222,398,1033,1507,1982,1045,2237,3282,1672,630,349,1176,1694,7417,0.440607514,0.385285576,0.760343088,7.682926829,4.256097561,90.45121951
1995-96,CLE,0,0,NBA,82,47,35,0.573,19830,2761,5998,2165,4416,596,1582,1355,1775,867,2055,2922,1818,674,340,1073,1685,7473,0.460320107,0.376738306,0.763380282,8.219512195,4.146341463,91.13414634
1996-97,CLE,0,0,NBA,82,42,40,0.512,19855,2704,5972,2221,4688,483,1284,1282,1773,909,2159,3068,1714,655,315,1188,1882,7173,0.452779638,0.376168224,0.723068246,7.987804878,3.841463415,87.47560976
1997-98,CLE,0,0,NBA,82,47,35,0.573,19830,2817,6207,2519,5406,298,801,1653,2187,955,2331,3286,1894,814,419,1418,1939,7585,0.453842436,0.372034956,0.755829904,9.926829268,5.109756098,92.5
1998-99,CLE,0,0,NBA,50,22,28,0.44,12050,1562,3561,1380,3027,182,534,1016,1356,472,1316,1788,1093,452,203,785,1208,4322,0.438640831,0.34082397,0.749262537,9.04,4.06,86.44
1999-00,CLE,0,0,NBA,82,32,50,0.39,19855,2977,6734,2634,5815,343,919,1653,2205,1010,2499,3509,1941,715,363,1427,2219,7950,0.442084942,0.373231774,0.749659864,8.719512195,4.426829268,96.95121951
2000-01,CLE,0,0,NBA,82,30,52,0.366,19830,2890,6532,2670,5873,220,659,1561,2040,1015,2440,3455,1708,642,436,1350,1904,7561,0.442437232,0.33383915,0.765196078,7.829268293,5.317073171,92.20731707
2001-02,CLE,0,0,NBA,82,29,53,0.354,19855,2948,6582,2561,5556,387,1026,1529,1980,968,2483,3451,1891,572,470,1196,1752,7812,0.44788818,0.377192982,0.772222222,6.975609756,5.731707317,95.26829268
2002-03,CLE,0,0,NBA,82,17,65,0.207,19830,2850,6746,2557,5850,293,896,1502,2012,1118,2542,3660,1712,636,521,1501,1864,7495,0.422472576,0.327008929,0.746520875,7.756097561,6.353658537,91.40243902
2003-04,CLE,0,0,NBA,82,35,47,0.427,19855,2922,6753,2675,5967,247,786,1528,2030,1118,2619,3737,1808,585,537,1216,1743,7619,0.432696579,0.314249364,0.75270936,7.134146341,6.548780488,92.91463415
2004-05,CLE,0,0,NBA,82,42,40,0.512,19855,2990,6687,2690,5783,300,904,1634,2174,1117,2352,3469,1851,654,461,1141,1850,7914,0.447136234,0.331858407,0.751609936,7.975609756,5.62195122,96.51219512
2005-06,CLE,0,0,NBA,82,50,32,0.61,19830,2908,6412,2411,4947,497,1465,1689,2318,959,2511,3470,1560,567,392,1137,1733,8002,0.453524641,0.339249147,0.728645384,6.914634146,4.780487805,97.58536585
2006-07,CLE,0,1,NBA,82,50,32,0.61,19880,2978,6658,2484,5254,494,1404,1484,2133,1039,2529,3568,1708,625,353,1177,1781,7934,0.447281466,0.351851852,0.695733708,7.62195122,4.304878049,96.75609756
2007-08,CLE,0,0,NBA,82,45,37,0.549,19855,2937,6697,2385,5153,552,1544,1477,2061,1092,2563,3655,1640,579,427,1145,1712,7903,0.438554577,0.357512953,0.716642407,7.06097561,5.207317073,96.37804878
2008-09,CLE,0,0,NBA,82,66,16,0.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223,0.468236752,0.392814371,0.75695825,7.231707317,5.304878049,100.2804878
2009-10,CLE,0,0,NBA,82,61,21,0.744,19780,3101,6391,2499,4809,602,1582,1569,2180,791,2692,3483,1835,564,425,1137,1591,8373,0.485213582,0.380530973,0.719724771,6.87804878,5.182926829,102.1097561
2010-11,CLE,0,0,NBA,82,19,63,0.232,19755,2886,6647,2377,5158,509,1489,1546,2075,856,2449,3305,1720,544,341,1166,1648,7827,0.434180833,0.341840161,0.745060241,6.634146341,4.158536585,95.45121951
2011-12,CLE,0,0,NBA,66,21,45,0.318,15965,2261,5360,1821,4087,440,1273,1178,1645,841,1949,2790,1308,466,262,1017,1317,6140,0.421828358,0.34564022,0.716109422,7.060606061,3.96969697,93.03030303
2012-13,CLE,0,0,NBA,82,24,58,0.293,19730,2993,6901,2446,5320,547,1581,1380,1826,1004,2359,3363,1694,647,334,1149,1737,7913,0.43370526,0.345983555,0.755750274,7.890243902,4.073170732,96.5
2013-14,CLE,0,0,NBA,82,33,49,0.402,19930,3036,6955,2452,5315,584,1640,1398,1861,989,2629,3618,1738,579,304,1163,1640,8054,0.436520489,0.356097561,0.751209027,7.06097561,3.707317073,98.2195122
2014-15,CLE,0,1,NBA,82,53,29,0.646,19780,3089,6739,2263,4486,826,2253,1453,1934,911,2612,3523,1814,603,340,1171,1510,8457,0.458376614,0.366622281,0.751292658,7.353658537,4.146341463,103.1341463
2015-16,CLE,1,1,NBA,82,57,25,0.695,19855,3171,6888,2291,4460,880,2428,1333,1783,873,2777,3650,1861,551,317,1114,1666,8555,0.460365854,0.362438221,0.747616377,6.719512195,3.865853659,104.3292683
2016-17,CLE,0,1,NBA,82,51,31,0.622,19880,3275,6963,2208,4184,1067,2779,1431,1913,766,2821,3587,1858,539,327,1121,1486,9048,0.470343243,0.383951062,0.748039728,6.573170732,3.987804878,110.3414634
2017-18,CLE,0,1,NBA,82,50,32,0.61,19730,3311,6950,2330,4314,981,2636,1488,1909,694,2761,3455,1916,582,312,1126,1524,9091,0.476402878,0.37215478,0.779465689,7.097560976,3.804878049,110.8658537
2018-19,CLE,0,0,NBA,82,19,63,0.232,19755,3189,7184,2342,4796,847,2388,1342,1694,879,2619,3498,1698,534,195,1106,1642,8567,0.443903118,0.354690117,0.792207792,6.512195122,2.37804878,104.4756098
1980-81,DAL,0,0,NBA,82,15,67,0.183,19780,3204,6928,3158,6763,46,165,1868,2487,1109,2177,3286,1984,561,214,1439,2008,8322,0.462471132,0.278787879,0.75110575,6.841463415,2.609756098,101.4878049
1981-82,DAL,0,0,NBA,82,28,54,0.341,19730,3390,7224,3335,7034,55,190,1740,2366,1213,2228,3441,2117,566,313,1317,2193,8575,0.469269103,0.289473684,0.735418428,6.902439024,3.817073171,104.5731707
1982-83,DAL,0,0,NBA,82,38,44,0.463,19730,3674,7550,3631,7365,43,185,1852,2462,1296,2381,3677,2227,552,348,1348,2067,9243,0.486622517,0.232432432,0.752233956,6.731707317,4.243902439,112.7195122
1983-84,DAL,0,0,NBA,82,43,39,0.524,19955,3618,7235,3576,7051,42,184,1774,2350,1090,2265,3355,2164,579,360,1303,1906,9052,0.500069109,0.22826087,0.754893617,7.06097561,4.390243902,110.3902439
1984-85,DAL,0,0,NBA,82,44,38,0.537,19855,3560,7280,3408,6837,152,443,1844,2324,1095,2345,3440,2152,575,335,1184,1796,9116,0.489010989,0.343115124,0.793459552,7.012195122,4.085365854,111.1707317
1985-86,DAL,0,0,NBA,82,44,38,0.537,19805,3631,7254,3490,6808,141,446,2050,2643,1059,2454,3513,2108,605,369,1289,1733,9453,0.50055142,0.316143498,0.77563375,7.37804878,4.5,115.2804878
1986-87,DAL,0,0,NBA,82,55,27,0.671,19880,3594,7373,3363,6720,231,653,2148,2717,1219,2494,3713,2017,688,424,1205,1873,9567,0.487454225,0.353751914,0.790577843,8.390243902,5.170731707,116.6707317
1987-88,DAL,0,0,NBA,82,53,29,0.646,19755,3413,7191,3259,6665,154,526,1980,2510,1341,2495,3836,1984,645,446,1257,1734,8960,0.474621054,0.292775665,0.788844622,7.865853659,5.43902439,109.2682927
1988-89,DAL,0,0,NBA,82,38,44,0.463,19780,3244,6917,3033,6236,211,681,1785,2263,1048,2397,3445,1867,579,476,1233,1739,8484,0.468989446,0.309838473,0.788775961,7.06097561,5.804878049,103.4634146
1989-90,DAL,0,0,NBA,82,47,35,0.573,19855,3246,6831,3089,6345,157,486,1735,2261,1042,2419,3461,1776,664,398,1228,1733,8384,0.475186649,0.323045267,0.767359575,8.097560976,4.853658537,102.2439024
1990-91,DAL,0,0,NBA,82,28,54,0.341,19805,3245,6890,3052,6290,193,600,1512,1986,984,2360,3344,1821,581,397,1186,1840,8195,0.470972424,0.321666667,0.761329305,7.085365854,4.841463415,99.93902439
1991-92,DAL,0,0,NBA,82,22,60,0.268,19755,3120,7104,2852,6307,268,797,1499,1999,1194,2439,3633,1630,536,349,1202,1867,8007,0.439189189,0.336260979,0.749874937,6.536585366,4.256097561,97.64634146
1992-93,DAL,0,0,NBA,82,11,71,0.134,19730,3164,7271,2881,6434,283,837,1530,2171,1234,2265,3499,1683,649,355,1459,2302,8141,0.435153349,0.338112306,0.704744357,7.914634146,4.329268293,99.2804878
1993-94,DAL,0,0,NBA,82,13,69,0.159,19730,3055,7070,2814,6297,241,773,1450,1942,1271,2150,3421,1629,767,299,1393,2007,7801,0.432107496,0.311772316,0.746652935,9.353658537,3.646341463,95.13414634
1994-95,DAL,0,0,NBA,82,36,46,0.439,19930,3227,7342,2841,6142,386,1200,1622,2210,1514,2433,3947,1941,579,348,1345,1811,8462,0.439526015,0.321666667,0.733936652,7.06097561,4.243902439,103.195122
1995-96,DAL,0,0,NBA,82,26,56,0.317,19930,3124,7431,2389,5392,735,2039,1426,1975,1408,2379,3787,1913,642,342,1270,1836,8409,0.420401023,0.360470819,0.722025316,7.829268293,4.170731707,102.5487805
1996-97,DAL,0,0,NBA,82,24,58,0.293,19805,2813,6452,2383,5136,430,1316,1375,1918,1040,2262,3302,1663,654,351,1324,1798,7431,0.435988841,0.32674772,0.716892596,7.975609756,4.280487805,90.62195122
1997-98,DAL,0,0,NBA,82,20,62,0.244,19905,2882,6754,2460,5571,422,1183,1308,1738,1008,2280,3288,1535,646,466,1182,1643,7494,0.426710098,0.356720203,0.752589183,7.87804878,5.682926829,91.3902439
1998-99,DAL,0,0,NBA,50,19,31,0.38,12075,1749,4033,1547,3438,202,595,881,1210,645,1478,2123,921,352,292,692,1065,4581,0.433672204,0.339495798,0.728099174,7.04,5.84,91.62
1999-00,DAL,0,0,NBA,82,40,42,0.488,19730,3195,7047,2676,5721,519,1326,1407,1751,931,2444,3375,1810,592,416,1124,1770,8316,0.453384419,0.391402715,0.803540834,7.219512195,5.073170732,101.4146341
2000-01,DAL,0,0,NBA,82,53,29,0.646,19805,3085,6716,2568,5359,517,1357,1552,1954,831,2571,3402,1740,618,492,1141,1907,8239,0.459350804,0.380987472,0.794268168,7.536585366,6,100.4756098
2001-02,DAL,0,0,NBA,82,57,25,0.695,19880,3200,6930,2579,5285,621,1645,1608,1994,918,2568,3486,1811,581,392,992,1842,8629,0.461760462,0.377507599,0.806419258,7.085365854,4.780487805,105.2317073
2002-03,DAL,0,0,NBA,82,60,22,0.732,19780,3161,6982,2525,5314,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,8444,0.452735606,0.381294964,0.828778583,8.109756098,5.475609756,102.9756098
2003-04,DAL,0,0,NBA,82,52,30,0.634,19805,3322,7230,2815,5774,507,1456,1475,1854,1174,2538,3712,1963,656,437,1000,1609,8626,0.459474412,0.348214286,0.795577131,8,5.329268293,105.195122
2004-05,DAL,0,0,NBA,82,58,24,0.707,19730,3058,6691,2595,5418,463,1273,1826,2314,990,2530,3520,1610,708,461,1102,1827,8405,0.457031834,0.363707777,0.789109767,8.634146341,5.62195122,102.5
2005-06,DAL,0,1,NBA,82,60,22,0.732,19880,2948,6375,2532,5262,416,1113,1818,2322,1030,2431,3461,1473,593,488,1112,1834,8130,0.462431373,0.3737646,0.782945736,7.231707317,5.951219512,99.14634146
2006-07,DAL,0,0,NBA,82,67,15,0.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,0.467246197,0.381054131,0.804889976,6.829268293,4.975609756,100.0121951
2007-08,DAL,0,0,NBA,82,51,31,0.622,19730,3025,6515,2531,5112,494,1403,1690,2075,883,2643,3526,1720,490,402,1037,1786,8234,0.464313124,0.352102637,0.814457831,5.975609756,4.902439024,100.4146341
2008-09,DAL,0,0,NBA,82,50,32,0.61,19805,3128,6770,2557,5138,571,1632,1516,1852,909,2595,3504,1779,591,429,1043,1600,8343,0.462038405,0.349877451,0.818574514,7.207317073,5.231707317,101.7439024
2009-10,DAL,0,0,NBA,82,55,27,0.671,19880,3140,6760,2582,5262,558,1498,1526,1870,834,2586,3420,1917,624,449,1059,1563,8364,0.464497041,0.372496662,0.816042781,7.609756098,5.475609756,102
2010-11,DAL,1,1,NBA,82,57,25,0.695,19705,3069,6463,2424,4695,645,1768,1437,1850,780,2618,3398,1954,557,352,1145,1575,8220,0.474856878,0.364819005,0.776756757,6.792682927,4.292682927,100.2439024
2011-12,DAL,0,0,NBA,66,36,30,0.545,16065,2398,5412,1901,3948,497,1464,1029,1334,665,2157,2822,1380,565,337,926,1226,6322,0.443089431,0.339480874,0.771364318,8.560606061,5.106060606,95.78787879
2012-13,DAL,0,0,NBA,82,41,41,0.5,19980,3182,6892,2576,5264,606,1628,1323,1669,767,2670,3437,1906,648,454,1144,1698,8293,0.461694719,0.372235872,0.792690234,7.902439024,5.536585366,101.1341463
2013-14,DAL,0,0,NBA,82,49,33,0.598,19830,3249,6858,2528,4981,721,1877,1378,1733,840,2514,3354,1935,704,356,1110,1636,8597,0.473753281,0.384123601,0.795152914,8.585365854,4.341463415,104.8414634
2014-15,DAL,0,0,NBA,82,50,32,0.61,19880,3255,7036,2523,4954,732,2082,1386,1843,858,2608,3466,1846,663,371,1062,1644,8628,0.462620807,0.351585014,0.752034726,8.085365854,4.524390244,105.2195122
2015-16,DAL,0,0,NBA,82,42,40,0.512,20005,3064,6900,2258,4558,806,2342,1454,1831,751,2781,3532,1813,560,306,1047,1595,8388,0.444057971,0.344150299,0.794101584,6.829268293,3.731707317,102.2926829
2016-17,DAL,0,0,NBA,82,33,49,0.402,19780,2968,6750,2090,4277,878,2473,1215,1516,647,2516,3163,1705,614,307,972,1567,8029,0.439703704,0.355034371,0.801451187,7.487804878,3.743902439,97.91463415
2017-18,DAL,0,0,NBA,82,24,58,0.293,19805,3128,7042,2161,4354,967,2688,1167,1530,666,2717,3383,1858,578,310,1008,1578,8390,0.444191991,0.359747024,0.762745098,7.048780488,3.780487805,102.3170732
