Season,Tm,Champion,Finals,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,STLperG,BLKperG,PTSperG
1983-84,DEN,0,0,NBA,82,38,44,0.463,19805,3935,7983,3858,7728,77,255,2200,2690,1133,2444,3577,2482,711,352,1344,2279,10147,0.49292246,0.301960784,0.817843866,8.670731707,4.292682927,123.7439024
1984-85,DEN,0,0,NBA,82,52,30,0.634,19830,3876,7976,3803,7741,73,235,2016,2568,1331,2303,3634,2266,894,424,1382,2152,9841,0.485957874,0.310638298,0.785046729,10.90243902,5.170731707,120.0121951
1985-86,DEN,0,0,NBA,82,47,35,0.573,19755,3705,7868,3634,7563,71,305,1929,2416,1223,2317,3540,2140,826,421,1336,2164,9410,0.470894764,0.232786885,0.798427152,10.07317073,5.134146341,114.7560976
1986-87,DEN,0,0,NBA,82,37,45,0.451,19780,3744,7951,3638,7560,106,391,1975,2568,1294,2368,3662,2317,754,421,1216,2184,9569,0.470884166,0.271099744,0.769080997,9.195121951,5.134146341,116.695122
1987-88,DEN,0,0,NBA,82,54,28,0.659,19780,3770,7961,3578,7399,192,562,1841,2289,1163,2442,3605,2300,832,401,1186,1982,9573,0.473558598,0.341637011,0.804281346,10.14634146,4.890243902,116.7439024
1988-89,DEN,0,0,NBA,82,44,38,0.537,19880,3813,8140,3585,7464,228,676,1821,2314,1206,2513,3719,2282,811,436,1225,2088,9675,0.468427518,0.337278107,0.786949006,9.890243902,5.317073171,117.9878049
1989-90,DEN,0,0,NBA,82,43,39,0.524,19805,3716,8015,3488,7338,228,677,1737,2201,1169,2532,3701,2275,814,329,1136,2047,9397,0.463630692,0.336779911,0.789186733,9.926829268,4.012195122,114.597561
1990-91,DEN,0,0,NBA,82,20,62,0.244,19730,3901,8868,3601,7809,300,1059,1726,2263,1520,2530,4050,2005,856,406,1332,2235,9828,0.439896256,0.283286119,0.762704375,10.43902439,4.951219512,119.8536585
1991-92,DEN,0,0,NBA,82,24,58,0.293,19780,3262,7380,3136,6962,126,418,1526,2067,1350,2352,3702,1553,773,461,1447,1984,8176,0.44200542,0.301435407,0.738268021,9.426829268,5.62195122,99.70731707
1992-93,DEN,0,0,NBA,82,36,46,0.439,19830,3352,7282,3214,6828,138,454,1784,2360,1266,2564,3830,1735,651,565,1413,2039,8626,0.460313101,0.303964758,0.755932203,7.93902439,6.890243902,105.195122
1993-94,DEN,0,0,NBA,82,42,40,0.512,19755,3156,6781,2986,6184,170,597,1739,2423,1105,2557,3662,1763,679,686,1422,1926,8221,0.46541808,0.284757119,0.717705324,8.280487805,8.365853659,100.2560976
1994-95,DEN,0,0,NBA,82,41,41,0.5,19980,3098,6461,2685,5301,413,1160,1700,2305,1040,2402,3442,1836,660,585,1381,2063,8309,0.479492339,0.356034483,0.737527115,8.048780488,7.134146341,101.3292683
1995-96,DEN,0,0,NBA,82,35,47,0.427,19830,3001,6657,2604,5509,397,1148,1614,2173,1057,2487,3544,1851,521,597,1265,1882,8013,0.450803665,0.345818815,0.742751956,6.353658537,7.280487805,97.7195122
1996-97,DEN,0,0,NBA,82,21,61,0.256,19930,2934,6687,2298,4976,636,1711,1516,1992,994,2452,3446,1889,503,487,1359,1784,8020,0.438761777,0.371712449,0.761044177,6.134146341,5.93902439,97.80487805
1997-98,DEN,0,0,NBA,82,11,71,0.134,19730,2677,6412,2389,5519,288,893,1658,2147,1040,2157,3197,1547,664,393,1311,1937,7300,0.41749844,0.322508399,0.772240335,8.097560976,4.792682927,89.02439024
